Statements,Label,Domain
These are the short-term debt owed by the business that must be paid within the period of one year. Most of these debts are used for regular business operations. These are of the following types.,Current liabilities,Liabilities 
"Interest payable This represents the amount of interest expense accrued to date but is not paid to date as per the balance sheet. That is why interest payable is also known as accrued interest. Let us understand this with an example. Suppose that the incurred interest is 20,000 rupees that are to be paid during the next fiscal year. In such a case, this journal entry will be recorded as ‘Interest payable.",Current liabilities,Liabilities 
Accounts Payable This is another short-term liability that must be paid within one year. It is generated whenever a company purchases goods and services from its suppliers. These get reduced when the company pays off its obligations. Accounts payable is a useful metric in the balance sheet. Experts can measure the company’s liquidity using AP. It is also used in planning the cash cycle.,Current liabilities,Liabilities 
Accrued expenses These expenses are recognized at the time when they are incurred. This happens regardless of whether the fact that cash has been paid or not. There are two common types of AP.,Current liabilities,Liabilities 
"Income tax payables Since income tax needs to be paid within the period of one year, it comes under the category of current liabilities. Other taxes are classified as long-term liabilities.",Current liabilities,Liabilities 
Bank account overdrafts The bank provides a short-term loan when the payment is processed with insufficient funds available in the bank account. ,Current liabilities,Liabilities 
These refer to financial obligations that are due in more than one year. These long-term debts can help companies with financing. Companies use these long-term debts for gaining capital for investment purposes and the purchase of assets.  ,Non-current liabilities,Liabilities 
The following are the different types of non-current debts.,Non-current liabilities,Liabilities 
"Bonds payable These are recorded whenever a company issues bonds to generate cash. The act of issuing the bond creates liability. These can be issued at discount, at par, and at a premium. The pricing of a bond is dependent on the difference between the coupon rate and the market yield on the issuance. ",Non-current liabilities,Liabilities 
"Deferred Tax Liability It arises when there is a difference between the amount that the company deducts as tax and the taxes for accounting purposes. These are the taxes that have been incurred but yet not been paid. This line item on the balance sheet reserves money for a specific expense in the future. This reduces the company’s cash flow available for expenditure but still, the company can use it for paying taxes.",Non-current liabilities,Liabilities 
Mortgage payable It is a promissory note that is secured by an asset and the title of the asset is then pledged to the lender. It is payable in equal installments that consist of both principal and interest throughout the loan term. This is usually done for purchasing a property.,Non-current liabilities,Liabilities 
Capital lease It is a contract that entitles a lender to use assets on a temporary basis. This contract has economic characteristics of asset ownership for the purpose of accounting. It is also recorded on the balance sheet. The renter books assets and liabilities with the lease in case the rental contract meets certain requirements.,Non-current liabilities,Liabilities 
"These are potential liabilities that may occur based on the outcome of a future event. These may or may not happen. Therefore, such debts are recorded in accounting records only if the probability of occurrence is more than 50%. Outstanding lawsuits, government probes, liquidated damages, and product warranties are examples of contingent liabilities.",Contingent liabilities,Liabilities 
A contingent liability has the potential to negatively impact the future net profitability and cash flow of a company. Therefore knowledge of the liability can help investors and creditors in making better decisions. These can also reduce profit generation for the company.,Contingent liabilities,Liabilities 
Current liabilities are those liabilities that are due and need to be paid within an accounting period (which is usually a year or 12 months). Current liabilities are also known as short-term liabilities due to the relatively short turnaround time.,Current liabilities,Liabilities 
Current liabilities need to be closely monitored by the management of a company as a company needs to have sufficient liquidity in the form of current assets in order to pay off the current liabilities.,Current liabilities,Liabilities 
Current liabilities have a direct impact on the working capital and also on the liquidity of the business.,Current liabilities,Liabilities 
Some of the examples of current liabilities are.,Current liabilities,Liabilities 
1. Interest Payable.,Current liabilities,Liabilities 
2. Accounts Payable.,Current liabilities,Liabilities 
3. Short term loans.,Current liabilities,Liabilities 
4. Accrued Expenses.,Current liabilities,Liabilities 
5. Bank overdraft.,Current liabilities,Liabilities 
These liabilities help businesses acquire capital assets by providing the required capital. Businesses can also invest in new capital projects using the funds obtained from long term debts or liabilities.,Non-current liabilities,Liabilities 
"Long term liabilities are an important indicator of the solvency of the business. A company which is unable to pay off long term liabilities as and when they become due, indicates a solvency issue with the business or it signals a crisis within the business.",Non-current liabilities,Liabilities 
Investors always look at the long term liabilities of the business before investing.,Non-current liabilities,Liabilities 
Some examples of long term liabilities .,Non-current liabilities,Liabilities 
1. Deferred tax liabilities.,Non-current liabilities,Liabilities 
2. Bonds payable.,Non-current liabilities,Liabilities 
3. Capital leases.,Non-current liabilities,Liabilities 
4. Debentures.,Non-current liabilities,Liabilities 
"Contingent liabilities are a special type of liability that may occur during the course of a business, depending on the outcome of an event that may take place in the future.",Contingent liabilities,Liabilities 
"In accounting standards, contingent liabilities are recorded as potential or probable liabilities only if they have a 50% chance of occurring and when the amount of liability can be estimated properly.",Contingent liabilities,Liabilities 
Some of the examples of contingent liabilities. ,Contingent liabilities,Liabilities 
1. Product warranties.,Contingent liabilities,Liabilities 
2. Lawsuits. ,Contingent liabilities,Liabilities 
Current liabilities are referred to liabilities that are payable within a period of 12 months from the time of receipt of economic benefit.,Current liabilities,Liabilities 
"Say, if an entity has to pay creditors by virtue of purchase of raw material in 1-month time, then that liability will be categorized under current liabilities. Similarly, the interest liability related to a long-term loan, which is payable within the next year, will come under current liabilities.",Current liabilities,Liabilities 
See also  How Many Types of Adjustable-rate Mortgages? All You Need To Know. ,Current liabilities,Liabilities 
Examples of Current Liabilities.,Current liabilities,Liabilities 
"Apart from interest payable and the current portion of a long-term loan, many liabilities can be classified under the term current liabilities.",Current liabilities,Liabilities 
"These include salaries and wages payable and creditors payable, advance received from vendors, monthly utilities, and rent payable.",Current liabilities,Liabilities 
"In certain circumstances, the timing or the value of the financial liability will be uncertain, and these are referred to as ‘provisions’ in the balance sheet. These are also classified as current.",Current liabilities,Liabilities 
The typical list of items found under this headinh.,Current liabilities,Liabilities 
Accounts Payable – It is referred to as the sum of all unpaid vendors & service providers.,Current liabilities,Liabilities 
"Accrued Payroll – Usually, employees are paid in arrears. Thus, liability against salaries due is recorded as accrued payroll.",Current liabilities,Liabilities 
"Other Accrued Liabilities – As on the balance sheet, various expenses have been incurred by the organization, but their invoice has not yet been received, for example, utility bills and rents payable.",Current liabilities,Liabilities 
"Current Portion of Long-term Loan – in case of a loan that is payable is more than one year, this heading would only include the portion of loan and interest that is payable in the current 12-months.",Current liabilities,Liabilities 
Non-current liabilities are the liabilities that are payable after a period of 12 months.,Non-current liabilities,Liabilities 
"For example, if a debt is payable over a period of 5 years, then the amount payable after one year shall be classified under long-term liabilities.",Non-current liabilities,Liabilities 
"As explained earlier, the amount owed within the next 12 months shall be classified under current liabilities.",Non-current liabilities,Liabilities 
"Similarly, all other liabilities that are not required to be paid within the next 12 months shall be categorized as a long-term liability.",Non-current liabilities,Liabilities 
See also  What is a Budgeted Cost? (Explained). ,Non-current liabilities,Liabilities 
Examples of Non-Current Liabilities,Non-current liabilities,Liabilities 
"Non-current liabilities include bonds or notes payable, finance leases, pension liabilities, post-retirement liabilities, deferred compensation.",Non-current liabilities,Liabilities 
The typical list of items found listed under this heading are,Non-current liabilities,Liabilities 
"Notes payable – The Notes Payable is a financial liability in which a borrower’s written promise to pay cash to a lender is recorded. (The lender records such promise as Notes Receivable). Generally, the written note specifies the principal amount, the interest to be paid, and the date due.",Non-current liabilities,Liabilities 
"For most entities, if the note will be due within 12 months, the borrower will classify such note payable under current liability.",Non-current liabilities,Liabilities 
"If the note is due after 12 months, the note payable will be recorded under non-current liability.",Non-current liabilities,Liabilities 
"Pension obligations – The term pension obligation refers to the expenses or liabilities incurred and payable in the future, associated with the entity’s pension plan. Generally, pension obligations can be recorded in terms of accumulated, vested, and projected benefits.",Non-current liabilities,Liabilities 
Finance leases –A finance lease is a method of providing finance to an entity where effectively a leasing company (the lessor or owner) buys the asset for the user (the lessee or hirer) and transfers substantially all of the risks and rewards of ownership of the asset to the lessee against monthly or quarterly payments for a fixed period.,Non-current liabilities,Liabilities 
"Long-term bonds payables –The bond is a type of long-term debt that is usually issued by organizations like corporations, hospitals, and governments. The issuer makes a formal promise or an agreement to pay interest of bonds, usually semiannually, to pay the principal amount at an agreed date in the future.",Non-current liabilities,Liabilities 
"Long-term warranties – Some organizations give warranties as after-sales services to its customer to create a long and reliable relationship with them. These warranties, thus, are payable in more than one year, are classified as long-term.",Non-current liabilities,Liabilities 
"Long-term loans – Usually, businesses, to provide for their working capital, take long-term loans. The repayment of these loans is extended over a period of greater than one year.",Non-current liabilities,Liabilities 
See also  Original Issue Discount (OID) - What Is It? Example and Explanation. ,Non-current liabilities,Liabilities 
The financial liabilities can also be divided into two different categories based on their relation to market prices or rates. ,Non-current liabilities,Liabilities 
linked to market prices.,Non-current liabilities,Liabilities 
