Statements,Label,Domain
Operates an ethical supply chains,Social,ESG
Avoids overseas labor that may have questionable workplace safety or employ child labor,Social,ESG
Supports LGBTQ+ rights and encourages all forms of diversity,Social,ESG
Has policies to protect against sexual misconduct,Social,ESG
Pays fair (living) wages,Social,ESG
The social pillar refers to an organization’s relationships with stakeholders. Examples of factors that a firm may be measured against include Human Capital Management (HCM) metrics (like fair wages and employee engagement) but also an organization’s impact on the communities in which it operates.,Social,ESG
"A hallmark of ESG is how social impact expectations have extended outside the walls of the company and to supply chain partners, particularly those in developing economies where environmental and labor standards may be less robust.",Social,ESG
"Social factors address how an organization treats people, including these examples:",Social,ESG
"Community relations, including the organization's connection and impact on the local communities in which it operates and serves",Social,ESG
Customer satisfaction,Social,ESG
Data protection and privacy policies and efforts,Social,ESG
Efforts to fund projects or institutions that help poor and underserved communities globally,Social,ESG
"Employee diversity, equity and inclusion (DEI)",Social,ESG
Employee engagement and relations,Social,ESG
Health and safety,Social,ESG
"Human rights, including child labor and slavery",Social,ESG
Labor standards,Social,ESG
"Social aspect: Data is reported on employee safety and health, working conditions, diversity, equity, and inclusion, and conflicts and humanitarian crises,[4] and is relevant in risk and return assessments directly through results in enhancing (or destroying) customer satisfaction and employee engagement.",Social,ESG
Diversity[edit],Social,ESG
"There is a growing belief that the broader the pool of talent open to an employer the greater the chance of finding the optimum person for the job.[34] Innovation and agility are seen as the great benefits of diversity, and there is an increasing awareness of what has come to be known as the power of difference.[35]",Social,ESG
Human rights[edit],Social,ESG
"In 2006, the US Courts of Appeals[clarification needed][which?] ruled that there was a case to answer bringing the area of a company's social responsibilities squarely into the financial arena.[36] This area of concern is widening to include such considerations as the impact on local communities, the health and welfare of employees and a more thorough examination of a company's supply chain.",Social,ESG
Consumer protection[edit],Social,ESG
"Until fairly recently, caveat emptor (""buyer beware"") was the governing principle of commerce and trading. In recent times however there has been an increased assumption that the consumer has a right to a degree of protection and the vast growth in damages litigation has meant that consumer protection is a central consideration for those seeking to limit a company's risk and those examining a company's credentials with an eye to investing. The collapse of the US subprime mortgage market initiated a growing movement against predatory lending has also become an important area of concern.[37]",Social,ESG
Animal welfare[edit],Social,ESG
"Animal welfare concerns involve testing products or ingredients on animals, breeding for testing, exhibiting animals, or factory farms.[38]",Social,ESG
Conservatives[edit],Social,ESG
"Out of the 435 ESG shareholder proposals that were recorded by the non-profit organization As You Sow in 2021, 22 were classified as conservative by the organization.[39] The National Center for Public Policy Research has asked 7 companies to prepare a report on the BRT Statement of the Purpose of a Corporation. Other conservative proposals include reports on charitable contributions and board nominee ideological diversity.[40]",Social,ESG
Consideration of people & relationships,Social,ESG
- Customer satisfaction,Social,ESG
- Data protection and privacy,Social,ESG
- Gender and diversity,Social,ESG
- Employee engagement,Social,ESG
- Community relations,Social,ESG
- Human rights,Social,ESG
- Labor standards,Social,ESG
"Social commitment: This covers a company’s internal workplace culture, employee satisfaction, retention, diversity, workplace conditions, and employee health and safety. Companies with happy and healthy employees perform better and are viewed as a stronger investment.",Social,ESG
Consideration of humans and our interdependencies,Social,ESG
Customer success,Social,ESG
Data hygiene and security,Social,ESG
Gender and diversity inclusion,Social,ESG
Community relations,Social,ESG
Mental health,Social,ESG
"ESG governance standards ensure a company uses accurate and transparent accounting methods, pursues integrity and diversity in selecting its leadership, and is accountable to shareholders.6",Governance,ESG
"ESG investors may require assurances that companies avoid conflicts of interest in their choice of board members and senior executives, don't use political contributions to obtain preferential treatment, or engage in illegal conduct.",Governance,ESG
Embraces diversity on board of directors,Governance,ESG
Embraces corporate transparency,Governance,ESG
Someone other than the CEO is chair of the board,Governance,ESG
Staggers board elections,Governance,ESG
"Corporate governance refers to how an organization is led and managed. ESG analysts will seek to understand better how leadership’s incentives are aligned with stakeholder expectations, how shareholder rights are viewed and honored, and what types of internal controls exist to promote transparency and accountability on the part of leadership.",Governance,ESG
"Governance examines how a corporation polices itself, focusing on internal system controls and practices to maintain compliance. Governance focuses on transparency, industry best practices, organization management and associated growth initiatives.",Governance,ESG
Examples of governance include:,Governance,ESG
Company leadership,Governance,ESG
"Board composition, including diversity and structure",Governance,ESG
Corruption and bribery,Governance,ESG
Donations and political lobbying,Governance,ESG
Executive compensation and policies,Governance,ESG
"Tax strategy, including audit committee structure, internal controls and regulatory policies",Governance,ESG
Whistleblower programs,Governance,ESG
"Governance aspect: Data is reported on corporate governance such as preventing bribery, corruption, Diversity of Board of Directors, executive compensation, cybersecurity and privacy practices, and management structure.",Governance,ESG
Diversity[edit],Governance,ESG
"There is a growing belief that the broader the pool of talent open to an employer the greater the chance of finding the optimum person for the job.[34] Innovation and agility are seen as the great benefits of diversity, and there is an increasing awareness of what has come to be known as the power of difference.[35]",Governance,ESG
Human rights[edit],Governance,ESG
"In 2006, the US Courts of Appeals[clarification needed][which?] ruled that there was a case to answer bringing the area of a company's social responsibilities squarely into the financial arena.[36] This area of concern is widening to include such considerations as the impact on local communities, the health and welfare of employees and a more thorough examination of a company's supply chain.",Governance,ESG
Consumer protection[edit],Governance,ESG
"Until fairly recently, caveat emptor (""buyer beware"") was the governing principle of commerce and trading. In recent times however there has been an increased assumption that the consumer has a right to a degree of protection and the vast growth in damages litigation has meant that consumer protection is a central consideration for those seeking to limit a company's risk and those examining a company's credentials with an eye to investing. The collapse of the US subprime mortgage market initiated a growing movement against predatory lending has also become an important area of concern.[37]",Governance,ESG
Animal welfare[edit],Governance,ESG
"Animal welfare concerns involve testing products or ingredients on animals, breeding for testing, exhibiting animals, or factory farms.[38]",Governance,ESG
Conservatives[edit],Governance,ESG
"Out of the 435 ESG shareholder proposals that were recorded by the non-profit organization As You Sow in 2021, 22 were classified as conservative by the organization.[39] The National Center for Public Policy Research has asked 7 companies to prepare a report on the BRT Statement of the Purpose of a Corporation. Other conservative proposals include reports on charitable contributions and board nominee ideological diversity.[40]",Governance,ESG
Corporate governance concerns[edit],Governance,ESG
See also: Corporate governance and Social ownership,Governance,ESG
Corporate governance is the structures and processes that direct and control companies. It makes companies more accountable and transparent to investors and gives them the tools to respond to stakeholder concerns.[41],Governance,ESG
"ESG Corporate Governance from the Board of Director's view, Governance Lens watching over Corporate Behavior of the CEO, C-Suite, and employees at large includes measuring the Business ethics, anti-competitive practices, corruption, tax and providing accounting transparency for stakeholders.",Governance,ESG
"MSCI puts in the Governance side of the bucket corporate behavior practices and governance of board diversity, executive pay, ownership, and control, and accounting that the board of directors have to oversee on behalf of stakeholders.[42] Other concerns include reporting and transparency, business ethics, board oversight, CEO / board chair split, shareholder right to nominate board candidates, stock buybacks, and dark money given to influence elections.[43]",Governance,ESG
Management structure[edit],Governance,ESG
"The system of internal procedures and controls that makes up the management structure of a company is in the valuation of that company's equity.[25] Attention has been focused in recent years on the balance of power between the CEO and the board of directors and specifically the differences between the European model and the US model—in the US studies have found that 80% of companies have a CEO who is also the chairman of the board, in the UK and the European model it was found that 90% of the largest companies split the roles of CEO and chairman.[44]",Governance,ESG
Employee relations[edit],Governance,ESG
"In the United States Moskowitz's list of the Fortune 100 Best Companies to Work For has become not only an important tool for employees but companies are beginning to compete keenly for a place on the list, as not only does it help to recruit the best workforce, it appears to have a noticeable impact on company values.[17] Employee relations relate also to the representation of co-workers in the decision-making of companies, and the ability to participate in a union.",Governance,ESG
Executive compensation[edit],Governance,ESG
Companies are now being asked to list the percentage levels of bonus payments and the levels of remuneration of the highest paid executives are coming under close scrutiny from stock holders and equity investors alike.,Governance,ESG
Employee compensation[edit],Governance,ESG
"Besides executive compensation, equitable pay of other employees is a consideration in the governance of an organization. This includes pay equity for employees of all genders. Pay equity audits and the results of those audits may be required by various regulations and, in some cases, made available to the public for review. Hermann J. Stern differentiates four methods to include ESG performance in employee compensation:[45]",Governance,ESG
"ESG Targets (Objectives for activities, projects and ESG results set by the company as a goal)",Governance,ESG
"ESG Relative Performance Measurement (compared to peers, on the basis of key figures the company considers relevant)",Governance,ESG
"ESG Ratings Agencies (Refinitiv, S&P Trucost and RobecoSam, Sustainalytics, ISS ESG, MSCI ESG, Vigeo Eiris, EcoVadis, Minerva Analytics, etc.)[46]",Governance,ESG
"ESG Performance Evaluations (internal or independent performance assessment by means of expert opinions, based on internally and externally available objective and subjective facts)",Governance,ESG
Standards for running a company,Governance,ESG
- Board composition,Governance,ESG
- Audit committee structure,Governance,ESG
- Bribery and corruption,Governance,ESG
- Executive compensation,Governance,ESG
- Lobbying,Governance,ESG
- Political contributions,Governance,ESG
- Whistleblower schemes,Governance,ESG
"Corporate governance: A company’s commitment to governance includes compliance, the internal corporate culture, pay ratios, the company ethos, and transparency and accountability in leadership. Investors are interested in companies that can keep up with changing laws and regulations, and that have a commitment to equity and equality in the workplace.",Governance,ESG
Logistics and defined process for running a business or organization,Governance,ESG
Board of directors and its makeup,Governance,ESG
Executive compensation guidelines,Governance,ESG
Political contributions and lobbying,Governance,ESG
Venture partner compensation,Governance,ESG
Hiring and onboarding best practices,Governance,ESG
"The E in ESG, environmental criteria, includes the energy your company takes in and the waste it discharges, the resources it needs, and the consequences for living beings as a result. Not least, E encompasses carbon emissions and climate change. Every company uses energy and resources; every company affects, and is affected by, the environment.",Environment,ESG
"Environmental: The environmental aspect of ESG examines how a business or organization operates as a steward of our natural environment, focusing on all aspects of sustainability, including waste and pollution, resource depletion, greenhouse gas emissions, deforestation, climate change, and more.",Environment,ESG
"Businesses have come to recognize that unless they act responsibly as members of the global community, they will only worsen the effects of climate change, putting not only our planet but also their ability to operate at risk. Instead of viewing environmental harm as an inevitable consequence of business operations, more and more businesses are recognizing that now is the time to be part of the solution. ",Environment,ESG
Carbon emissions.,Environment,ESG
Air and water pollution.,Environment,ESG
Deforestation.,Environment,ESG
Green energy initiatives.,Environment,ESG
Waste management.,Environment,ESG
Water usage.,Environment,ESG
"As the realities of climate change and other potentially world-altering ecological issues become ever-more documented, a business’ commitment to sustainability becomes more important. Environmental factors in ESG refer the impact that an organization may be having on waste, pollution, resource depletion, greenhouse gas emission, climate change, and deforestation.",Environment,ESG
"Climate change and other environmental issues are growing. And if these issues are not addressed on a global scale soon, we may witness serious ramifications for governments, economies, and even individually operated businesses. Organizations that make the effort to be environmentally responsible may be better able to weather these challenges, offering investors increased stability.",Environment,ESG
"Environment. What kind of impact does a company have on the environment? This can include a company’s carbon footprint, toxic chemicals involved in its manufacturing processes and sustainability efforts that make up its supply chain.",Environment,ESG
Environmental: What is an organization doing to be a steward of the environment? The environmental umbrella covers: ,Environment,ESG
How a company is combatting climate change ,Environment,ESG
What a company is doing to reduce carbon emissions,Environment,ESG
"How the company is preserving biodiversity, improving air and water quality, combatting deforestation, or responsibly managing its waste",Environment,ESG
How the company is responsibly using resources and its supply chain ,Environment,ESG
What the company is doing to reduce its emissions?  ,Environment,ESG
"S, social criteria, addresses the relationships your company has and the reputation it fosters with people and institutions in the communities where you do business. S includes labor relations and diversity and inclusion. Every company operates within a broader, diverse society.",Social,ESG
"Social: Within ESG, the social criterion examines the impact an organization’s operations on the labor and human rights of its employees and other community members, encompassing everything from diversity and inclusion efforts to employee volunteer hours, workplace conditions, and pay parity and equity. The environmental aspect of ESG can often outshine the social or governance aspects, since an organization’s impact on the environment is more easily quantifiable. But an organization’s impact on workers and employees is essential in reducing risk and ensuring the business runs responsibly.",Social,ESG
Employee gender and diversity.,Social,ESG
Data security.,Social,ESG
Customer satisfaction.,Social,ESG
Company sexual harassment policies.,Social,ESG
Human rights at home and abroad.,Social,ESG
"A company is more than its products, services, or logo; it’s a collection of people working towards common goals. As such, how well a company treats its employees, and whether it complies with established health, safety, and hiring standards can help investors evaluate its overall quality and risk. The social factor of ESG incorporates employee relations, local communities, health, safety, conflict, and diversity.",Social,ESG
"It’s no secret that happy, satisfied, engaged employees contribute to increased business success. The reverse is also true: Unhappy employees are much more likely to underperform, hurting the business’ bottom line. But employee satisfaction goes beyond the cubicle. Businesses that follow high standards in how they treat and support their employees will have an easier time keeping top talent, and those employees will be more likely to become brand ambassadors, even when they aren’t on the clock. Taken altogether, this makes these companies a lower risk investment.",Social,ESG
"Social. How does the company improve its social impact, both within the company and in the broader community? Social factors include everything from LGBTQ+ equality, racial diversity in both the executive suite and staff overall, and inclusion programs and hiring practices. It even looks at how a company advocates for social good in the wider world, beyond its limited sphere of business.",Social,ESG
Social: What is an organization doing to improve lives? The social umbrella covers: ,Social,ESG
How a company nurtures its people and workplace ,Social,ESG
"Gender, BIPOC, and LGBTQ+ inclusivity initiatives ",Social,ESG
The company’s employee engagement,Social,ESG
Data protection and privacy ,Social,ESG
Community involvement ,Social,ESG
Human rights and labor standards ,Social,ESG
"G, governance, is the internal system of practices, controls, and procedures your company adopts in order to govern itself, make effective decisions, comply with the law, and meet the needs of external stakeholders. Every company, which is itself a legal creation, requires governance.",Governance,ESG
"Governance: The governance aspect of ESG aims to examine how a corporation polices itself or how a company is governed. While the environmental and social aspects are relatively straightforward, the governance aspect tends to garner the most confusion. ",Governance,ESG
"Responsible governance within a company encapsulates efforts related to transparency, accountability, and compliance. This includes using accurate and transparent accounting methods, pursuing diversity in selecting its leadership while avoiding conflicts of interest, accountability to shareholders, avoiding any illegal activity, and more. Relationships with stakeholders are key to governance initiatives, as the organization works to garner trust through transparency and accountability.",Governance,ESG
Diversity of board members.,Governance,ESG
Political contributions.,Governance,ESG
Executive pay.,Governance,ESG
Large-scale lawsuits.,Governance,ESG
Internal corruption.,Governance,ESG
Lobbying.,Governance,ESG
"At the heart of ESG is the idea that businesses need to take responsibility for the kind of impact they create. Governance is an essential factor in this, examining how well an organization governs itself. Governance focuses on issues such as executive remuneration, donations, political lobbying, tax strategy, board diversity, structure, corruption, and bribery. Proper governance helps align issues between stakeholders at different levels, support continued growth and long-term strategy.",Governance,ESG
"Governance details the inner working of the business itself. High standards of governance help ensure that the business in question is not involved in any illegal practices—an obvious red flag for investors. But more than that, governance promotes accurate and transparent financial processes. It assigned rights to stockholders. It helps eliminate the risks associated with conflicts of interest. Essentially, it exists to ensure ethical practices at all levels, protecting the business and those who invest in it from penalties and risks associated with poor management.",Governance,ESG
"An important thing to remember is that ESG isn't a separate, independent, niche problem; it has fundamental effects on your approach to doing business (i.e., building products to be recycled, designing processes so they can be monitored for compliance with internal and external goals, etc.). Together, these are helping create frameworks for effectively approaching these issues using a system composed of people, processes, and tech working together to help companies effectively incorporate ESG as an essential component of their overall strategy, risk, and governance programs. And this means reduced risk for investors.",Governance,ESG
Governance. How does the company’s board and management drive positive change? Governance includes everything from issues surrounding executive pay to diversity in leadership as well as how well that leadership responds to and interacts with shareholders.,Governance,ESG
Governance: What is an organization doing to stay ahead of corruption and ensure its investments remain sustainable in the future? The governance umbrella covers:  ,Governance,ESG
A company’s internal controls  ,Governance,ESG
"Policies, principles and procedures governing leadership, board composition, executive compensation, audit committee structure, shareholder rights, bribery, lobbying, political contributions, and whistleblower programs ",Governance,ESG
,,
