label,Statements
Debt ratio," The said ratio compares a company’s aggregate liabilities to its total assets and tends to offer a fair idea of how often it resorts to liability leveraging. A lower percentage indicates that a company is reducing this leverage and has a firm footing for equities. Similarly, a higher ratio indicates that it is more likely to be exposed to financial risk."
Debt to equity ratio, The ratio is arrived at by comparing the total equity of a venture to its total debt. A significantly high ratio signifies that a business venture is not being funded with enough equity. Business owners may take a cue from such outcomes and meet the shortcomings accordingly.
Cash flow to debt ratio, This ratio helps gauge how readily a business venture can pay off its existing debt by utilising its cash flow.
Long-term borrowings," Some of the most common non-current liabilities examples are long-term borrowings. These include lines of credit with repayment periods lasting for longer than one year. Businesses typically utilise long-term borrowings to meet their capital expense obligations or fund specific operations. For example, a business might have access to a prespecified line of credit to purchase machinery."
Long-term lease," Another example of a common non-current liability is a lease payment. Businesses typically sign commercial leases for periods over one year, with prespecified monthly repayments due throughout the duration of this contract. Lease payments might apply to office space or other forms of property, as well as rented equipment including industrial machinery and motor vehicles. Any property purchased using the lease would then be recorded as an asset on the company balance sheet."
Provisions," A third type of non-current liability is for provisions, which refers to entries made in the books for unforeseen liabilities. These are likely to occur, although the exact terms may not be known just yet. A few examples of provisions could include things like guarantees, losses, pensions, and severance costs. These might be incurred during the current year but won’t be realised on the balance sheet until next year."
Deferred tax liabilities," There’s often a lag between a tax liability and its eventual payment. As a result, deferred tax liabilities often fall under the category of non-current. Using a deferred tax liability lets your business show on record that you’ve reported less income in the current accounting period and will offset this amount in the future."
Loans (secured and unsecured)," While loans might seem identical to long-term borrowings, there are a few differences. You can borrow from any entity, but when you take out a secured or unsecured loan from a financial institution this falls under a different category for accounting purposes. Loans are usually longer term in nature, which makes them a prime example of non-current liabilities."
Long-Term Debt , The portion of a company’s total debt with a maturity date beyond one year.
Deferred Revenue , The payments received by customers for products or services not yet provided (i.e. “unearned” revenue).
Bonds Payable ," The amount the company owes to bondholders, assuming the bond’s maturity is outside of the next year."
Notes Payable , The amount the company owes to financiers for any money lent that is due outside of the next year.
Pension Benefit Obligations , The payments associated with long-term pension plans offered to employees.
Product Warranties , Obligations that the company expects to pay to customers for the replacement or repair of any goods sold.
Deferred Tax Liabilities ," Taxes owed by a company that will be paid at some point in the future, but not in the current period."
